Day,Observed snow on road, White ratio on road, Estimated snow on road
1,0,0.03741680230034722,0
1,0,0.031044831452546273,0
1,0,0.0398770254629629,0
1,0,0.02260955132378467,0
1,0,0.025317545572916655,0
1,0,0.03140449128327549,0
1,0,0.014015810366030057,0
1,0,0.01003340657552082,0
1,0,0.016748923972800922,0
1,0,0.017185569480613394,0
1,0,0.022417860243055476,0
1,0,0.011663782190393546,0
1,0,0.0077910156250000084,0
1,0,0.014764377170138954,0
1,0,0.01608958152488421,0
1,0,0.02623577654803233,0
1,0,0.04694033022280081,0
1,0,0.03640440086082175,0
1,0,0.037524762188946736,0
1,0,0.0405532271773727,0
1,0,0.02997406231915506,0
1,0,0.032287933262664714,0
1,0,-0.0011706859447338513,0
1,0,0.03715153899016199,0
1,0,0.024088758680555544,0
1,0,0.046854980468749974,0
1,0,0.0505036621093749,0
1,0,0.019677246093750045,0
1,0,0.02524520760995369,0
1,0,0.03664489746093741,0
1,0,0.05747797761140039,0
1,1,0.17294226526331014,1
1,1,0.19261740903501157,1
1,1,0.20702892162181713,1
1,1,0.25582091380931704,1
1,1,0.21626726817692254,1
1,1,0.2279563982928241,1
1,1,0.23012267614293969,1
1,1,0.18156374330873842,1
1,1,0.1575601128472222,0
1,1,0.21771784577546294,1
1,1,0.20070187264901618,1
1,1,0.1836219030309606,1
1,1,0.19954964192708335,1
1,1,0.20335437915943283,1
1,1,0.19801988389756936,1
1,1,0.16016759349681703,1
1,1,0.16568849464699065,1
1,1,0.17308528645833332,1
1,1,0.19430243145978005,1
1,1,0.18467651819299763,1
1,1,0.2513644476996527,1
1,1,0.3005698377821181,2
1,1,0.2868452826605904,1
1,1,0.23891875090422454,1
1,1,0.18827676052517356,1
1,2,0.25752185058593735,1
1,2,0.2994123444733796,1
1,2,0.3299524287471064,2
1,2,0.3296595458984375,2
1,2,0.3488810085720485,2
1,2,0.3421968722873264,2
1,2,0.3019945610894097,2
1,2,0.31110839843750016,2
1,2,0.32854414876302085,2
1,2,0.33310319010416667,2
1,2,0.3227745090060763,2
1,2,0.30964871328848387,2
0,0,0.04053246618200235,0
0,0,0.039655196578414376,0
0,0,0.037262894241898104,0
0,0,0.04254050925925923,0
0,0,0.04932119864004625,0
0,0,0.05605934425636572,0
0,0,0.05275741916232635,0
0,0,0.05582807978877313,0
0,0,0.05809488932291662,0
0,0,0.054579811378761556,0
0,0,0.03754490379050923,0
0,0,0.046884146231192136,0
0,0,0.05377909794560182,0
0,0,0.07739578360098381,0
0,0,0.08699173990885417,0
0,0,0.07328298158998836,0
0,0,0.0586888472945602,0
0,0,0.06909799985532405,0
0,0,0.2000921856915509,1
0,0,0.23281811975549765,1
0,0,0.2511828342013888,1
0,0,0.21198758047598376,1
0,0,0.22791544144241893,1
0,0,0.21226358145254626,1
0,0,0.18527912055121526,1
0,0,0.16145853678385413,1
0,0,0.17903742585358795,1
0,0,0.13316601562499997,0
0,1,0.23449373824508102,1
0,1,0.2967723795572917,1
0,1,0.3132973271122686,2
0,1,0.2837992531105324,1
0,1,0.28592799207899305,1
0,1,0.2801818531177663,1
0,1,0.28448190646701393,1
0,1,0.2890622784649884,1
0,1,0.28046297652633095,1
0,1,0.28668342646846073,1
0,1,0.30136955656828696,2
0,1,0.30442482729311343,2
0,1,0.27758349157262724,1
0,1,0.25565551305700235,1
0,1,0.25781060112847215,1
0,1,0.2641198323567708,1
0,1,0.27509503851996514,1
0,2,0.46822633644386563,2
0,2,0.4851058846932869,2
0,2,0.488394174081308,2
0,2,0.4890968288845487,2
0,2,0.4819756356698495,2
0,2,0.46882946325231495,2
0,2,0.4782404152199075,2
0,2,0.4862706344039352,2
0,2,0.4821542652271413,2
0,2,0.4830161268446181,2
0,2,0.48091111924913216,2
0,2,0.4743696153428821,2
0,2,0.4797198802806713,2
0,2,0.4765353190104166,2
0,2,0.48026391601562496,2
0,2,0.49367229546440966,2
0,2,0.49141953305844893,2
0,2,0.48192997233072915,2
0,2,0.4877307626229746,2
0,2,0.49406870298032396,2
0,2,0.4238242594401042,2
0,2,0.4796174768518519,2
0,2,0.48596659794560165,2
0,2,0.4948487232349536,2
0,2,0.49145144314236106,2
0,2,0.472651136610243,2
0,2,0.4856111970124423,2
0,2,0.4881221336082176,2
0,2,0.4719956461588541,2
0,2,0.47659474012586805,2
0,2,0.4731979437934028,2
0,2,0.4736572536892361,2
0,2,0.4602164306640624,2
0,2,0.47282901114004633,2
0,2,0.46391707356770845,2
0,2,0.4599335440176506,2
0,2,0.4587599283854166,2
0,2,0.4378024178964121,2
0,2,0.46970058412905086,2
0,2,0.4484684561270255,2
0,2,0.37945037163628464,2
0,2,0.4618720974392359,2
0,2,0.4675443205656828,2
0,2,0.474346752025463,2
0,2,0.4649436216001159,2
0,2,0.4689273952907987,2
0,2,0.42362376121238426,2
0,2,0.45978820800781245,2
0,2,0.4428332971643519,2
0,2,0.4329752785011574,2
0,2,0.4450954635054976,2
0,2,0.4396480938946759,2
0,2,0.43088951732494235,2
0,2,0.44666360134548616,2
0,2,0.4620454870153356,2
0,2,0.4579427671079283,2
0,2,0.45088481535734964,2
0,2,0.4531439932364005,2
0,2,0.46057917842158574,2
0,2,0.46524897370515045,2
